Viajeros y tasas;TIPO DE TRANSPORTE;Ciudad;Periodo;Total
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2024M09;40.130
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2024M08;25.805
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2024M07;34.079
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2024M06;40.315
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2024M05;42.456
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2024M04;44.205
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2024M03;39.069
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2024M02;41.474
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2024M01;40.238
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2023M12;37.694
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2023M11;41.982
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2023M10;44.113
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2023M09;42.464
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2023M08;27.975
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2023M07;35.785
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2023M06;40.078
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2023M05;39.237
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2023M04;35.047
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2023M03;40.368
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2023M02;35.223
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2023M01;34.669
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2022M12;32.808
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2022M11;36.084
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2022M10;36.342
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2022M09;33.935
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2022M08;20.453
Viajeros transportados;Transporte urbano regular por autobœs;28079 Madrid;2022M07;25.225
